value,reason
100083,marked_to_delete
100115,from_emlo_matches
100138,from_emlo_matches
100538,from_emlo_matches
100608,from_emlo_matches
100635,auto_duplicate
100636,auto_duplicate
100654,auto_duplicate
100665,marked_to_delete
100680,from_emlo_matches
1007025,marked_to_delete
100732,from_emlo_matches
100832,from_emlo_matches
100844,from_emlo_matches
100988,from_emlo_matches
100989,from_emlo_matches
101074,from_emlo_matches
10142,auto_duplicate
10148,marked_to_delete
10232,auto_duplicate
10235,auto_duplicate
10251,auto_duplicate
10252,auto_duplicate
10253,auto_duplicate
10262,auto_duplicate
10263,auto_duplicate
10279,auto_duplicate
10360,auto_duplicate
10388,auto_duplicate
1041,auto_duplicate
10412,from_emlo_matches
10413,from_emlo_matches
10414,from_emlo_matches
10415,from_emlo_matches
10416,from_emlo_matches
10417,from_emlo_matches
10465,auto_duplicate
10789,from_emlo_matches
10790,from_emlo_matches
10791,from_emlo_matches
10792,from_emlo_matches
10793,from_emlo_matches
10794,from_emlo_matches
10795,from_emlo_matches
10796,from_emlo_matches
10797,from_emlo_matches
10798,from_emlo_matches
10799,from_emlo_matches
10800,from_emlo_matches
10801,from_emlo_matches
1126,auto_duplicate
11323,from_emlo_matches
11352,auto_duplicate
11436,auto_duplicate
11504,from_emlo_matches
11601,auto_duplicate
11904,auto_duplicate
11905,auto_duplicate
11906,auto_duplicate
11907,auto_duplicate
11909,auto_duplicate
1191,marked_to_delete
11911,auto_duplicate
11915,auto_duplicate
11952,auto_duplicate
11954,auto_duplicate
12040,auto_duplicate
12112,auto_duplicate
1214,auto_duplicate
12142,from_emlo_matches
1215,auto_duplicate
12159,auto_duplicate
12231,marked_to_delete
12249,auto_duplicate
12275,auto_duplicate
12301,auto_duplicate
12325,from_emlo_matches
12456,auto_duplicate
1255,from_emlo_matches
1256,from_emlo_matches
12681,auto_duplicate
12682,auto_duplicate
12683,auto_duplicate
12684,auto_duplicate
12767,from_emlo_matches
12853,auto_duplicate
12855,auto_duplicate
13063,auto_duplicate
13138,auto_duplicate
13143,from_emlo_matches
13201,auto_duplicate
13337,auto_duplicate
13339,auto_duplicate
13411,auto_duplicate
