value,reason
100083,marked_to_delete
100115,from_emlo_matches
100138,from_emlo_matches
100148,author_or_recipient_unknown
100366,auto_duplicate
100406,auto_duplicate
100418,auto_duplicate
100538,from_emlo_matches
100553,auto_duplicate
100562,auto_duplicate
100608,from_emlo_matches
100635,auto_duplicate
100636,auto_duplicate
100654,auto_duplicate
100665,marked_to_delete
100680,from_emlo_matches
100693,auto_duplicate
1007025,marked_to_delete
100703,auto_duplicate
100732,from_emlo_matches
100735,author_or_recipient_unknown
100736,author_or_recipient_unknown
100832,from_emlo_matches
100844,from_emlo_matches
10086,author_or_recipient_unknown
10087,author_or_recipient_unknown
100988,from_emlo_matches
100989,from_emlo_matches
101074,from_emlo_matches
101114,author_or_recipient_unknown
101136,auto_duplicate
10142,auto_duplicate
10148,marked_to_delete
102,auto_duplicate
10203,author_or_recipient_unknown
10232,auto_duplicate
10235,auto_duplicate
10243,auto_duplicate
10251,auto_duplicate
10252,auto_duplicate
10253,auto_duplicate
10262,auto_duplicate
10263,auto_duplicate
10264,auto_duplicate
10265,auto_duplicate
10279,auto_duplicate
10281,auto_duplicate
10360,auto_duplicate
10388,auto_duplicate
10406,author_or_recipient_unknown
1041,auto_duplicate
10412,from_emlo_matches
10413,from_emlo_matches
10414,from_emlo_matches
10415,from_emlo_matches
10416,from_emlo_matches
10417,from_emlo_matches
10465,auto_duplicate
10560,author_or_recipient_unknown
10631,author_or_recipient_unknown
10759,author_or_recipient_unknown
10788,author_or_recipient_unknown
10789,from_emlo_matches
10790,from_emlo_matches
10791,from_emlo_matches
10792,from_emlo_matches
10793,from_emlo_matches
10794,from_emlo_matches
10795,from_emlo_matches
10796,from_emlo_matches
10797,from_emlo_matches
10798,from_emlo_matches
10799,from_emlo_matches
10800,from_emlo_matches
10801,from_emlo_matches
10912,author_or_recipient_unknown
1120,auto_duplicate
1126,auto_duplicate
11323,from_emlo_matches
11328,author_or_recipient_unknown
11352,auto_duplicate
11361,auto_duplicate
11436,auto_duplicate
11504,from_emlo_matches
11516,auto_duplicate
11600,author_or_recipient_unknown
11601,auto_duplicate
11604,author_or_recipient_unknown
11904,auto_duplicate
